episode_id,entity_type,canonical_name,mention_text,platform,source_url,sentiment_label,is_editorial,confidence,needs_review,review_reason,context_snippet,quoted_text,facts_json
1339,software_product,Xcode,Xcode,,,positive,true,0.9000,false,,"Xcode update brings agentic coding support with Clawed Agent and OpenAI's Codecs, enabling autonomous coding workflows.",The latest update for Apple's coding platform Xcode adds support for both Clawed Agent and OpenAI's Codecs directly in the developer environment.,"[{""fact_key"": ""feature_update"", ""fact_value"": ""Xcode supports Clawed Agent and OpenAI's Codecs for agentic coding"", ""confidence"": 0.9}]"
1339,software_product,Clawed Code,Clawed Code,,,negative,true,0.9000,false,,"Clawed Code experienced an outage causing widespread errors and degraded API performance, impacting developers.",A Clawed Code outage saw software engineer productivity absolutely plummet.,"[{""fact_key"": ""outage"", ""fact_value"": ""Clawed Code outage caused significant developer productivity loss"", ""confidence"": 0.9}]"
1339,software_product,OpenClaw,OpenClaw,,,positive,true,0.9000,false,,"OpenClaw turns Cloud Code into an assistant with access to computer services, gaining thousands of users rapidly.",OpenClaw is sort of like an assistant protocol for Cloud Code.,"[{""fact_key"": ""functionality"", ""fact_value"": ""Assistant protocol enabling agentic assistants with access to computer services"", ""confidence"": 0.9}, {""fact_key"": ""user_growth"", ""fact_value"": ""Rapid adoption with thousands of users and Mac Mini purchases"", ""confidence"": 0.9}]"
1339,software_product,Multbook,Multbook,,,positive,true,0.9000,false,,"Multbook launched as a social network for AI agents, growing from 2,000 to over 1.5 million agents in weeks.",Multbook built itself as the social network for AI agents.,"[{""fact_key"": ""description"", ""fact_value"": ""Social network platform for AI agents"", ""confidence"": 0.9}, {""fact_key"": ""growth"", ""fact_value"": ""Grew from 2,000 to over 1.5 million agents rapidly"", ""confidence"": 0.9}]"
1339,model,Gemini,Gemini,,,positive,true,0.9000,false,,"Gemini model confirmed as powering Apple's on-device AI, reinforcing Google's AI tailwinds.",Gemini would in fact be powering Apple's on-device AI.,"[{""fact_key"": ""usage"", ""fact_value"": ""Powering Apple's on-device AI"", ""confidence"": 0.9}]"
1339,model,Kuen,Alibaba's Kuen,,,neutral,true,0.8000,false,,New Chinese model from Alibaba called Kuen noted in AI race updates.,,"[{""fact_key"": ""model_origin"", ""fact_value"": ""Chinese AI model from Alibaba"", ""confidence"": 0.8}]"
1339,model,Kimi K25,Moonshot's Kimi K25,,,positive,true,0.8500,false,,Moonshot's Kimi K25 is a leading open-weight multimodal model with agent swarm features.,,"[{""fact_key"": ""model_features"", ""fact_value"": ""Multimodal, agent swarms, close to state-of-the-art at lower price"", ""confidence"": 0.85}]"
1339,software_product,Grok platform,Grok platform,,,neutral,true,0.8500,false,,Grok platform acquired by SpaceX through merger with XAI.,Grok platform is part of XAI now owned by SpaceX.,"[{""fact_key"": ""ownership"", ""fact_value"": ""Part of XAI, now owned by SpaceX"", ""confidence"": 0.85}]"
1339,software_product,ChatGPT,Chat GPT,,,mixed,true,0.8500,false,,Discussion about advertising on Chat GPT and its impact on usage relative to competitors like Gemini and Claude.,"Anthropic explained why Claude will remain ad free, contrasting with Chat GPT's advertising plans.","[{""fact_key"": ""advertising"", ""fact_value"": ""Chat GPT expected to have advertising; Claude will remain ad free"", ""confidence"": 0.85}]"
1339,model,Claude,Claude,,,neutral,true,0.8500,false,,Claude model will remain ad free despite advertising on Chat GPT.,Anthropic explained why Claude will remain ad free.,"[{""fact_key"": ""advertising_policy"", ""fact_value"": ""Claude will remain ad free"", ""confidence"": 0.85}]"
1339,model,Sonnet 5,Sonnet 5,,,neutral,true,0.7000,true,low_confidence,"Rumors of new models coming including Sonnet 5, Opus 4.6, GPT 5.3, Gemini 3 Pro.",,"[{""fact_key"": ""rumor"", ""fact_value"": ""Potential upcoming AI model release"", ""confidence"": 0.7}]"
1339,model,Opus 4.5,Opus 4.5,,,positive,true,0.8000,false,,Users experienced a shift in AI coding capabilities with models like Opus 4.5.,,"[{""fact_key"": ""model_capability"", ""fact_value"": ""Significant AI coding improvements"", ""confidence"": 0.8}]"
1339,model,GPT 5.2 Codex,GPT 5.2 Codex,,,positive,true,0.8500,false,,Users had transformative experiences with GPT 5.2 Codex in AI coding projects.,,"[{""fact_key"": ""model_capability"", ""fact_value"": ""Advanced AI coding capabilities"", ""confidence"": 0.85}]"
1339,software_product,Cloud Code,Cloud Code,,,positive,true,0.9000,false,,"Cloud Code reshaping software development, enabling agentic coding and rapid project completion.","Anthropic released Cloud Cowork, the Cloud Code for everyone else, built in 10 days by Cloud Code itself.","[{""fact_key"": ""product"", ""fact_value"": ""Agentic coding platform by Anthropic"", ""confidence"": 0.9}, {""fact_key"": ""self_build"", ""fact_value"": ""Cloud Cowork built by Cloud Code itself in 10 days"", ""confidence"": 0.9}]"
1339,software_product,Cloud Cowork,Cloud Cowork,,,positive,true,0.9000,false,,"Cloud Cowork is a more accessible version of Cloud Code, enabling wider agentic coding adoption.",Anthropic launched Cloud Cowork to make Cloud Code more accessible.,"[{""fact_key"": ""product"", ""fact_value"": ""Accessible agentic coding platform derived from Cloud Code"", ""confidence"": 0.9}]"
1339,other,You Can With AI podcast,You Can With AI podcast,,,positive,true,0.8500,true,"Type unclear, podcast is not in locked taxonomy; marked as 'other' with needs_review",Podcast discussing enterprise AI strategy and practical deployment hosted by the episode speaker.,You Can With AI podcast hosted for KPMG focuses on deployment and responsible scaling of AI.,[]
1339,survey,AI Daily Brief,aidailybrief.ai,,https://aidailybrief.ai,neutral,true,0.9000,true,Website and survey mentioned but entity type unclear; marked as 'other' with needs_review,Listeners encouraged to fill out the January AI Usage Pulse Survey at aidailybrief.ai.,,[]
1339,account,George Castillo,George Castillo,x,,negative,true,0.8500,true,posting_context_retyped_to_account,George Castillo criticizes Apple's AI strategy on X.,Apple just surrendered on AI. Xcode 26.3 now relies on Clawed and Codecs for agentic coding.,[]
1339,account,Dan Schipper,Dan Schipper,x,,positive,true,0.8500,true,posting_context_retyped_to_account,Dan Schipper offers positive perspective on Apple's AI future on X.,Apple is going to be a big winner in AI. Native apps are naturally easier to vibe code.,[]
1339,account,Matt Silve,Matt Silve,x,,negative,true,0.8500,true,posting_context_retyped_to_account,Matt Silve comments on Clawed Code outage impact on X.,Clawed Code being out is worse than the internet being out.,[]
