episode_id,entity_type,canonical_name,mention_text,confidence,review_reason,platform,source_url,context_snippet
1339,model,Sonnet 5,Sonnet 5,0.7000,low_confidence,,,"Rumors of new models coming including Sonnet 5, Opus 4.6, GPT 5.3, Gemini 3 Pro."
1339,other,You Can With AI podcast,You Can With AI podcast,0.8500,"Type unclear, podcast is not in locked taxonomy; marked as 'other' with needs_review",,,Podcast discussing enterprise AI strategy and practical deployment hosted by the episode speaker.
1339,survey,AI Daily Brief,aidailybrief.ai,0.9000,Website and survey mentioned but entity type unclear; marked as 'other' with needs_review,,https://aidailybrief.ai,Listeners encouraged to fill out the January AI Usage Pulse Survey at aidailybrief.ai.
1339,account,George Castillo,George Castillo,0.8500,posting_context_retyped_to_account,x,,George Castillo criticizes Apple's AI strategy on X.
1339,account,Dan Schipper,Dan Schipper,0.8500,posting_context_retyped_to_account,x,,Dan Schipper offers positive perspective on Apple's AI future on X.
1339,account,Matt Silve,Matt Silve,0.8500,posting_context_retyped_to_account,x,,Matt Silve comments on Clawed Code outage impact on X.
1339,account,Fabio Seychas,Fabio Seychas,0.8500,posting_context_retyped_to_account,x,,Fabio Seychas compares Anthropic's importance to AWS and Cloudflare on X.
1339,account,Anand Iyer,Anand Iyer,0.8500,posting_context_retyped_to_account,x,,Anand Iyer comments on OpenClaw and Mac Mini adoption on X.
1339,account,Sigi Chen,Sigi Chen,0.8500,posting_context_retyped_to_account,x,,Sigi Chen compares Chat GPT and OpenClaw impact on X.
1342,software_product,Antigravity's Inbox,Antigravity's Inbox,0.7500,low_confidence,,,XAI's Codex app is compared to Antigravity's Inbox
1342,other,Multbook,Multbook,0.7000,Unclear what Multbook refers to; possibly a product or event,,,On the same day that Multbook started going off and Google launched Genie 3
1343,account,Andrej Karpathy,Andrej Karpathy,0.9500,posting_context_retyped_to_account,x,,"one-year anniversary of the term vibe-coding, yes it was only one year ago, 365 days, that Andrej Karpathy tweeted there is a new kind of coding I call vibe-coding."
1343,other,You Can With AI,You Can With AI,0.8500,"podcast type not in locked taxonomy, marked for review",,,"You'll want to check out another podcast that I've had the privilege to host, which is called You Can With AI from KPMG."
1344,account,ASML,ASML,0.8500,posting_context_retyped_to_account,x,,ASML's growth despite job cuts exemplifies companies growing while downsizing.
1349,paper,Integrated Information Theory,Integrated Information Theory,0.8000,"Mentioned as a theory, unclear if referring to a specific paper or general theory",,,"Dominus who said, it's driving me nuts. Like I just spent an hour researching consciousness theories, integrated information theory, global workspace theory, predictive processing"
1349,paper,Global Workspace Theory,Global Workspace Theory,0.8000,"Mentioned as a theory, unclear if referring to a specific paper or general theory",,,"Dominus who said, it's driving me nuts. Like I just spent an hour researching consciousness theories, integrated information theory, global workspace theory, predictive processing"
1349,software_product,ChatGPT,ChatGBT,0.7000,"Likely a mispronunciation or typo of ChatGPT, needs confirmation",,,"Charlie Ward writes, we noticed this weird post on Maltbook, which seemed to be written in complete gibberish. Then we pasted it into ChatGBT and WTF. ChatGBT said it's written in ROT13"
1349,other,Roko's Basilisk,Rocco's Basilisk,0.9000,"Name misspelled in transcript, likely referring to Roko's Basilisk thought experiment",,,"Rocco, whose name you might recognize from Rocco's Basilisk, which was a very early AI thought experiment"
1350,other,Optimus robots,Optimus robots,0.8500,"Unclear if Optimus robots is a software product, hardware product, or other entity type.",,,"They announced that the Model 3 and Model X will be discontinued, with the production line repurposed for Optimus robots. ... plans to use XAI models to power the Optimus robots."
1352,other,Google TPU v7,Google 7th generation TPUs,0.9000,Hardware mention not clearly fitting locked taxonomy; classified as 'hardware' which is not a locked type,,,Google is also using the 3nm process for their 7th generation TPUs.
1352,other,Nvidia Blackwell,Nvidia Blackwell chips,0.9000,Hardware mention not clearly fitting locked taxonomy; classified as 'hardware' which is not a locked type,,,Nvidia chose to stick with 4nm manufacturing on their latest generation Blackwell chips.
