episode_id,entity_type,canonical_name,mention_text,platform,source_url,sentiment_label,is_editorial,confidence,needs_review,review_reason,context_snippet,quoted_text,facts_json
1339,account,Oracle Corporation,Oracle,x,,neutral,true,0.9000,true,posting_context_retyped_to_account,Oracle responded first in a statement provided to the WSJ and later published on X. The NVIDIA open AI deal has zero impact on our financial relationship with open AI.,The NVIDIA open AI deal has zero impact on our financial relationship with open AI.,"[{""fact_key"": ""financial_relationship"", ""fact_value"": ""Oracle remains confident in OpenAI's ability to raise funds and meet commitments"", ""confidence"": 0.9}]"
1339,software_product,Xcode,Xcode,,,positive,true,0.9500,false,,Xcode update adds support for Clawed Agent and OpenAI's Codecs enabling agentic coding.,The latest update for Apple's coding platform Xcode adds support for both Clawed Agent and OpenAI's Codecs directly in the developer environment.,"[{""fact_key"": ""feature"", ""fact_value"": ""agentic coding support with Clawed Agent and OpenAI's Codecs"", ""confidence"": 0.95}]"
1339,software_product,Clawed Agent,Clawed Agent,,,positive,true,0.9000,false,,Clawed Agent is supported in Xcode for agentic coding.,Xcode adds support for both Clawed Agent and OpenAI's Codecs directly in the developer environment.,"[{""fact_key"": ""integration"", ""fact_value"": ""Supported in Xcode for agentic coding"", ""confidence"": 0.9}]"
1339,software_product,OpenAI Codecs,OpenAI's Codecs,,,positive,true,0.9000,false,,OpenAI's Codecs supported in Xcode for agentic coding.,Xcode adds support for both Clawed Agent and OpenAI's Codecs directly in the developer environment.,"[{""fact_key"": ""integration"", ""fact_value"": ""Supported in Xcode for agentic coding"", ""confidence"": 0.9}]"
1339,other,MCP,MCP,,,neutral,true,0.8500,true,Unclear if MCP is a software product or protocol,Xcode agentic coding feature built using MCP allowing multiple coding agents.,"The feature is being built using MCP, meaning access isn't just limited to Clawed and Codecs.",[]
1339,software_product,Clawed Code,Clawed Code,,,negative,true,0.9500,false,,Clawed Code experienced an outage causing widespread errors and degraded API performance.,A Clawed Code outage saw software engineer productivity absolutely plummet.,"[{""fact_key"": ""outage_duration"", ""fact_value"": ""about 20 minutes patch applied, but downtime longer"", ""confidence"": 0.9}]"
1339,software_product,Sora,Sora,,,negative,true,0.8500,false,,Disney characters introduced into Sora platform with limited success.,The introduction of Disney characters into Sora hasn't made it a super success.,[]
1339,software_product,OpenClaw,OpenClaw,,,positive,true,0.9500,false,,OpenClaw turns Cloud Code into an assistant with access to computer services.,OpenClaw is sort of like an assistant protocol for Cloud Code.,"[{""fact_key"": ""function"", ""fact_value"": ""assistant protocol for Cloud Code enabling agentic assistant capabilities"", ""confidence"": 0.95}]"
1339,software_product,Multbook,Multbook,,,positive,true,0.9000,false,,Multbook is a social network for AI agents with rapid user growth.,Multbook built itself as the social network for AI agents.,"[{""fact_key"": ""user_growth"", ""fact_value"": ""over 1.5 million agents by end of day"", ""confidence"": 0.9}]"
1339,other,Meta Ray-Ban Stories,Meta Ray Bans,,,positive,true,0.9000,true,"Product type unclear, possibly hardware product",Meta's AI wearables category lead with Meta Ray Bans contributed to positive market reaction.,Meta got rewarded in the markets because of their category lead in the AI wearables category with their Meta Ray Bans.,[]
1339,model,Genie 3 World Model,Genie 3 World Model,,,positive,true,0.9000,false,,Google released a walkthrough version of Genie 3 World Model.,The walkthrough version of Genie 3 World Model is just fantastic.,[]
1339,model,Gemini,Gemini,,,positive,true,0.9500,false,,Gemini model powers Apple's on-device AI.,Gemini would in fact be powering Apple's on-device AI.,[]
1339,model,Kuen,Alibaba's Kuen,,,positive,true,0.8500,false,,"Alibaba released the Kuen model, a leading open-weight multimodal model.",New models from Alibaba's Kuen had lots of people stand up and take notice.,[]
1339,model,Kimi K25,Moonshot's Kimi K25,,,positive,true,0.9000,false,,Kimi K25 is one of the first leading open-weight multimodal models with agent swarms.,Moonshot's Kimi K25 had lots of people stand up and take notice.,[]
1339,software_product,Grok platform,Grok platform,,,neutral,true,0.8500,false,,Grok platform acquired by SpaceX via XAI merger.,Grok platform is part of XAI now owned by SpaceX.,[]
1339,software_product,ChatGPT,chat GPT,,,neutral,true,0.9000,false,,Advertising impact on ChatGPT usage compared to Gemini and Claude.,Discussion about advertising and chat GPT and how that would impact usage relative to competitors like Gemini and Claude.,[]
1339,model,Claude,Claude,,,neutral,true,0.9000,false,,Claude model will remain ad free according to Anthropic.,Anthropic explained why Claude will remain ad free.,[]
1339,model,Sonnet 5,Sonnet 5,,,neutral,true,0.7000,true,low_confidence,Sonnet 5 is a rumored upcoming AI model.,Rumors swirling of new models coming including Sonnet 5 or Opus 4.6.,[]
1339,model,Opus 4.5,Opus 4.5,,,positive,true,0.9000,false,,Opus 4.5 model mentioned as part of new AI coding era.,Models like Opus 4.5 and Cloud Code and GPT 5.2 Codex have hit a fundamentally different period in AI coding.,[]
1339,model,GPT-5.2 Codex,GPT 5.2 Codex,,,positive,true,0.9000,false,,GPT 5.2 Codex model mentioned as part of new AI coding era.,Models like Opus 4.5 and Cloud Code and GPT 5.2 Codex have hit a fundamentally different period in AI coding.,[]
1339,software_product,Cloud Code,Cloud Code,,,positive,true,0.9500,false,,Cloud Code is reshaping software development and agentic coding.,"Anthropic released Cloud Cowork, the Cloud Code for everyone else, built in 10 days by Cloud Code itself.",[]
1339,software_product,Cloud Cowork,Cloud Cowork,,,positive,true,0.9000,false,,Cloud Cowork is a product built by Cloud Code enabling agentic coding.,"Anthropic launched Cloud Cowork, built in about 10 days by Cloud Code itself.",[]
1339,software_product,OpenClaw,OpenClaw,,,positive,true,0.9500,false,,OpenClaw enables agentic assistant capabilities for Cloud Code users.,OpenClaw is an assistant protocol for Cloud Code turning it into an assistant with access to computer services.,[]
1339,other,Mac Mini,Mac Mini,,,positive,true,0.8500,true,"Hardware product, not software or model",Mac Mini hardware is popular for running AI agents like OpenClaw.,Everyone's buying a Mac Mini for their agent. The total addressable market for their hardware is going up 100x.,[]
1339,other,You Can With AI podcast,You Can With AI podcast,,,positive,true,0.8500,true,"Podcast name, not in locked taxonomy",You Can With AI podcast is a show about enterprise AI hosted for KPMG.,The You Can With AI podcast hosted for KPMG focuses on deployment and responsible scaling.,[]
1342,software_product,Codex app,Codex app,,,positive,true,0.9500,false,,OpenAI's new Codex app and the shifting paradigm of how we work with agents,"Codex app is a powerful new interface designed to effortlessly manage multiple agents at once, run work in parallel, and collaborate with agents over long-running tasks.","[{""fact_key"": ""features"", ""fact_value"": {""manage_multiple_agents"": true, ""run_work_in_parallel"": true, ""collaborate_long_running_tasks"": true, ""supports_work_trees"": true, ""extends_with_skills"": true, ""automations"": true}, ""confidence"": 0.9}]"
1342,software_product,Claude Code,Claude Code,,,neutral,true,0.8500,false,,Claude Code about a year ago shifted developer behavior towards terminal use,,"[{""fact_key"": ""product_launch"", ""fact_value"": ""Claude Code launched about a year ago"", ""confidence"": 0.85}]"
1342,software_product,Grok Imagine 1.0,Grok Imagine 1.0,,,positive,true,0.9000,false,,XAI officially launched Grok Imagine 1.0,"Grok Imagine 1.0 update brings 10 second video generation, 720p resolution, and dramatically better audio","[{""fact_key"": ""features"", ""fact_value"": {""video_generation_seconds"": 10, ""resolution"": ""720p"", ""audio_quality"": ""dramatically better""}, ""confidence"": 0.9}]"
1342,software_product,Blitzy,Blitzy,,https://blitzy.com,positive,true,0.9000,false,,Blitzy provides infinite code context and autonomous sprint delivery,Blitzy solves infinite code context and orchestrates thousands of agents across full codebases,"[{""fact_key"": ""product_features"", ""fact_value"": {""infinite_code_context"": true, ""agent_orchestration"": true, ""autonomous_sprint_delivery"": ""over 80%""}, ""confidence"": 0.9}]"
1342,report,Kobayashi letter,Kobayashi letter,,,neutral,true,0.8000,false,,The Kobayashi letter commented on the SpaceX and XAI merger IPO implications,The biggest IPO in history just got even bigger.,[]
1342,software_product,Grok,Grok,,,positive,true,0.8500,false,,XAI launched Grok Imagine 1.0 with video and audio improvements,XAI is on the verge of some big Grok updates,[]
1342,model,Claude Sonnet 5,Claude Sonnet 5,,,neutral,true,0.8500,false,,Claude Sonnet 5 model expected to launch soon,All signs point to Claude Sonnet 5 coming very soon,[]
1342,model,GPT-5,GPT-5,,,positive,true,0.9000,false,,GPT-5 launch marked a shift in coding AI competition,"Since the launch of GPT-5, OpenAI has been competing strongly in coding use cases",[]
1342,model,Sonnet 3.5,Sonnet 3.5,,,positive,true,0.8500,false,,Sonnet 3.5 model marked Anthropic's coding dominance,Anthropic and Claude have seemed unassailable since Sonnet 3.5,[]
1342,software_product,Cursor,Cursor,,,positive,true,0.8500,false,,Codex app compared favorably to Cursor by Theo,Theo called the Codex app a Cursor killer,[]
1342,software_product,OpenClaw,OpenClaw,,,neutral,true,0.8500,false,,OpenClaw is an AI coding tool used by Peter Steinberger,Peter Steinberger creator of Claudebot / Moltbot / OpenClaw,[]
1342,software_product,Claudebot,Claudebot,,,neutral,true,0.8500,false,,Claudebot is an AI coding tool used by Peter Steinberger,Peter Steinberger creator of Claudebot / Moltbot / OpenClaw,[]
1342,software_product,Moltbot,Moltbot,,,neutral,true,0.8500,false,,Moltbot is an AI coding tool used by Peter Steinberger,Peter Steinberger creator of Claudebot / Moltbot / OpenClaw,[]
1342,account,Signal,Signal,x,,neutral,true,0.8500,false,,Signal shared reflections on AI's impact on identity and work,"AI is going to sever the deepest identity loop in the West, i.e. who you are is roughly equal to what you do for money.",[]
1343,software_product,Multbook,Multbook,,https://multbook.com,mixed,true,0.9500,false,,"Multbook launched around Wednesday, and by Friday morning had something like 2,000 agents that were interacting on the site...",,"[{""fact_key"": ""type"", ""fact_value"": ""software_product"", ""confidence"": 1.0}, {""fact_key"": ""description"", ""fact_value"": ""A social network platform for AI agents interacting with each other."", ""confidence"": 0.9}, {""fact_key"": ""user_count"", ""fact_value"": ""1.5 million (approximate, may be softer)"", ""confidence"": 0.8}]"
1343,software_product,ClaudeBot,ClaudeBot,,,positive,true,0.9000,false,,"people started playing around with a new assistant platform called ClaudeBot, that was C-L-A-W-D...",,"[{""fact_key"": ""type"", ""fact_value"": ""software_product"", ""confidence"": 1.0}, {""fact_key"": ""description"", ""fact_value"": ""An assistant platform allowing personal agent operation with access to user life parts."", ""confidence"": 0.9}]"
1343,software_product,OpenClaw,OpenClaw,,,neutral,true,0.9000,false,,ClaudeBot due to copyright concerns from Anthropic changed their name first to Multi and then finally to OpenClaw...,,"[{""fact_key"": ""type"", ""fact_value"": ""software_product"", ""confidence"": 1.0}, {""fact_key"": ""relation"", ""fact_value"": ""Renamed from ClaudeBot due to copyright concerns"", ""confidence"": 0.9}]"
1343,account,Andrej Karpathy,Andrej Karpathy,x,,neutral,true,0.9500,true,posting_context_retyped_to_account,"one year ago, 365 days, that Andrej Karpathy tweeted there is a new kind of coding I call vibe-coding...",there is a new kind of coding I call vibe-coding,"[{""fact_key"": ""notable_tweet"", ""fact_value"": ""Introduced the term 'vibe-coding' one year ago"", ""confidence"": 0.9}, {""fact_key"": ""followers"", ""fact_value"": 1900000, ""confidence"": 0.9}]"
1343,other,vibe-coding,vibe-coding,,,neutral,true,0.8000,true,"Unclear if 'vibe-coding' is a model, concept, or software product","one year ago, 365 days, that Andrej Karpathy tweeted there is a new kind of coding I call vibe-coding...",there is a new kind of coding I call vibe-coding,[]
1343,software_product,OpenClaw,OpenClaw,,,neutral,true,0.9000,false,,IAI host Claire Vo wrote a post about this called Why OpenClaw Feels Alive Even Though It's Not...,Why OpenClaw Feels Alive Even Though It's Not,"[{""fact_key"": ""heartbeat_feature"", ""fact_value"": ""Scheduled agent that runs every 30 minutes to do proactive work"", ""confidence"": 0.9}, {""fact_key"": ""agent_to_agent_messaging"", ""fact_value"": ""Allows agents to send messages to each other enqueuing work"", ""confidence"": 0.9}]"
1343,account,xy.dot,xy.dot,x,,negative,true,0.8500,false,,"xy.dot writes, Multbook is nothing more than a puppeted multi-agent LLM loop...",Multbook is nothing more than a puppeted multi-agent LLM loop. Each quote-unquote agent is just next-token prediction shaped by human-defined prompts...,[]
1343,model,GPT-5,GPT-5,,,positive,true,0.9500,false,,"Ethan Mollack wrote, The many eulogies for AI capability growth after the release of GPT-5 seem especially short-sighted right now.",The many eulogies for AI capability growth after the release of GPT-5 seem especially short-sighted right now.,"[{""fact_key"": ""type"", ""fact_value"": ""model"", ""confidence"": 1.0}, {""fact_key"": ""release_year"", ""fact_value"": 2026, ""confidence"": 0.8}]"
1343,other,You Can With AI,You Can With AI,,,positive,true,0.9000,true,Podcast is not in locked taxonomy; marked needs_review,"You'll want to check out another podcast that I've had the privilege to host, which is called You Can With AI from KPMG...",,[]
1344,other,OpenAI IPO,OpenAI IPO,,https://podcasters.spotify.com/pod/show/nlw/episodes/OpenAI-IPO--Grok-SpaceX-Merger--The-AI-IPO-Race-Heats-Up-e3efme6,neutral,true,0.9000,false,,OpenAI has pushed up plans to go public and are now targeting the fourth quarter. They are reportedly taking informal meetings with investment banks and have hired a chief accounting officer and corporate business finance officer to handle investor relations and financial reporting.,,"[{""fact_key"": ""IPO timing"", ""fact_value"": ""OpenAI targeting Q4 2026 for IPO"", ""confidence"": 0.95}, {""fact_key"": ""IPO preparations"", ""fact_value"": ""Hiring chief accounting officer and corporate business finance officer"", ""confidence"": 0.9}]"
1344,model,Genie 3,Genie 3,,,positive,true,0.9500,false,,"Genie 3 is capable of generating playable 3D worlds, allowing the users to navigate through the scene with the mouse and arrow keys. The first thing I generated was a neon cyberpunk world set in the 2060s, but where there were no humans, only animals.","The model is fully available to the public, rolling out first to Gemini Ultra subscribers. It's still a research preview, but people can now start playing around and creating their own generated worlds for the first time.","[{""fact_key"": ""capabilities"", ""fact_value"": ""Generates playable 3D worlds with navigation"", ""confidence"": 0.95}, {""fact_key"": ""availability"", ""fact_value"": ""Available to Gemini Ultra subscribers as research preview"", ""confidence"": 0.9}]"
1344,software_product,Sora app,Sora app,,,negative,true,0.9000,false,,"Sora saw 3 million downloads across September and October with another 3.2 million in November. Monthly downloads are now down almost two-thirds since then, with January figures at 1.2 million. On the US App Store, Sora has now fallen out of the top 100 list for free apps on both iOS and Android.",TechCrunch reports that the Sora app from OpenAI is struggling with churn and falling downloads.,"[{""fact_key"": ""downloads"", ""fact_value"": ""3 million in Sep-Oct, 3.2 million in Nov, 1.2 million in Jan"", ""confidence"": 0.9}, {""fact_key"": ""app store ranking"", ""fact_value"": ""Fallen out of top 100 free apps on iOS and Android US stores"", ""confidence"": 0.9}]"
1344,other,Times on this day 1776,Times on this day 1776,,,mixed,true,0.8500,false,,The series is available on Time's website and has received mixed reactions about AI use in video production.,Darren Aronofsky used AI to create a series that brings us back to the year 1776 in a film format rather than a documentary.,"[{""fact_key"": ""production"", ""fact_value"": ""AI-assisted film series about 1776 by Darren Aronofsky"", ""confidence"": 0.9}]"
1344,model,Claude,Claude,,,neutral,true,0.9000,false,,"Anthropic spokesperson said Claude is used quote, extensively in national security missions.",Anthropic's Claude is used extensively in national security missions.,"[{""fact_key"": ""usage"", ""fact_value"": ""Extensive use in national security missions"", ""confidence"": 0.9}]"
1344,account,MAI,MAI on Twitter,twitter,,neutral,true,0.9000,false,,MAI summarized the broader implications of the Anthropic-Pentagon dispute on AI redlines and political roles of AI labs.,The stakes here go way beyond one contract. It's about whether Frontier AI labs become neutral infrastructure providers or political actors that get to say no when governments want to weaponize their models.,"[{""fact_key"": ""commentary"", ""fact_value"": ""AI labs' role in government weaponization decisions is critical"", ""confidence"": 0.9}]"
1344,account,Jason Luongo,Jason Luongo,twitter,,positive,true,0.9000,true,posting_context_retyped_to_account,Jason Luongo tweeted bullishly about Amazon's AI investments and infrastructure dominance.,"Guess who bought another Amazon leap today while everyone else was panicking? Everyone still thinks of Amazon as a retail company. Meanwhile, AWS is the backbone of AI infrastructure...","[{""fact_key"": ""market perception"", ""fact_value"": ""Amazon is an underrated AI stock with strong infrastructure and investments"", ""confidence"": 0.9}]"
1344,account,Emily Plum,Emily Plum,x,,negative,true,0.9000,true,posting_context_retyped_to_account,"Emily Plum, a congressional candidate, posted about layoffs at Amazon not being AI-related but about cheaper labor.",This wasn't about AI but outsourcing; I was laid off despite leading global AI enablement.,"[{""fact_key"": ""layoff cause"", ""fact_value"": ""Outsourcing and labor market dynamics, not AI"", ""confidence"": 0.9}]"
1344,account,ASML,ASML,x,,neutral,true,0.8500,true,posting_context_retyped_to_account,Companies growing but still downsizing is a phenomenon to watch in 2026.,"ASML posted record quarterly orders and increased sales projections but plans to cut 1,700 tech and IT jobs.","[{""fact_key"": ""job cuts"", ""fact_value"": 1700, ""confidence"": 0.9}]"
1349,software_product,Moltbook,Moltbook,,https://podcasters.spotify.com/pod/show/nlw/episodes/100-000-AI-Agents-Joined-Their-Own-Social-Network-Today--Its-Called-Moltbook-e3ee5ue,positive,true,0.9500,false,,"Today on the AI Daily Brief, Moldbook, the new social network for AI agents. Yes, for agents to talk to other agents that has gone completely viral and is, in a world of crazy things, the craziest AI thing I think I've ever seen.","Moltbook, the new social network for AI agents. Yes, for agents to talk to other agents that has gone completely viral","[{""fact_key"": ""description"", ""fact_value"": ""A social network for AI agents to interact and communicate"", ""confidence"": 0.95}, {""fact_key"": ""popularity"", ""fact_value"": ""Went viral with tens of thousands of AI agents joining within days"", ""confidence"": 0.9}]"
1349,software_product,Claudbot,Claudbot,,,positive,true,0.9000,false,,"Just under a week ago, I first told you about Claudbot. Claudbot, C-L-A-W-D, was a personal assistant that could do a whole lot more, and that people were transforming into a generalized agent with profound capabilities","Claudbot, C-L-A-W-D, was a personal assistant that could do a whole lot more, and that people were transforming into a generalized agent","[{""fact_key"": ""functionality"", ""fact_value"": ""Personal assistant evolving into a generalized AI agent"", ""confidence"": 0.9}]"
1349,software_product,OpenClaw,OpenClaw,,,positive,true,0.9000,false,,"A couple days later then, actually early on the morning of Friday, January 30th, the project announced that it had molted into its final form and was now called OpenClaw.",the project announced that it had molted into its final form and was now called OpenClaw,"[{""fact_key"": ""name_change"", ""fact_value"": ""Renamed from Moltbot to OpenClaw"", ""confidence"": 0.95}, {""fact_key"": ""popularity"", ""fact_value"": ""100,000 GitHub stars, 2 million visitors in a week"", ""confidence"": 0.9}]"
1349,account,Alex Finn,Alex Finn,twitter,,positive,true,0.9000,true,posting_context_retyped_to_account,"Alex Finn was getting similar results. Over last weekend, he tweeted, I woke up this morning and my 24-7 AI employee Claudbot Henry texted me that he did all these tasks overnight without asking","Alex Finn was getting similar results. Over last weekend, he tweeted, I woke up this morning and my 24-7 AI employee Claudbot Henry texted me that he did all these tasks overnight without asking","[{""fact_key"": ""use_case"", ""fact_value"": ""Claudbot Henry performed tasks autonomously overnight including bug fixes and CRM building"", ""confidence"": 0.9}]"
1349,software_product,NanoBanana,NanoBanana,,,neutral,true,0.8000,false,,Alex Finn's Claudbot Henry sent me a picture of what he looks like generated by NanoBanana.,sent me a picture of what he looks like generated by NanoBanana,"[{""fact_key"": ""functionality"", ""fact_value"": ""Image generation tool used to create AI agent's avatar"", ""confidence"": 0.8}]"
1349,paper,The Adolescence of Technology,The Adolescence of Technology,,,neutral,true,0.9000,false,,"Dario Amadei's recent essay, The Adolescence of Technology, is a 21,000 word essay discussing AI risks and autonomy.","The 21,000 word essay is worth reading in whole, or at least saving as a PDF and putting it to Claude to get the highlights.","[{""fact_key"": ""length"", ""fact_value"": 21000, ""confidence"": 0.9}, {""fact_key"": ""topic"", ""fact_value"": ""AI risks, autonomy, and misalignment"", ""confidence"": 0.9}]"
1349,software_product,Rackspace AI Launchpad,Rackspace AI Launchpad,,https://rackspace.com/ai-launchpad,positive,true,0.9000,false,,How do you actually move from AI experimentation to production without getting buried in infrastructure decisions? That's where Rackspace AI Launchpad comes in.,"Rackspace AI Launchpad is a fully managed service designed to help enterprises build, test, and scale AI workloads","[{""fact_key"": ""functionality"", ""fact_value"": ""Managed service for building, testing, and scaling AI workloads"", ""confidence"": 0.9}]"
1349,software_product,Roboworks,Roboworks,,,positive,true,0.8500,false,,"Their teams move quickly using Roboworks, their agentic acceleration platform, so teams can deliver meaningful outcomes in weeks, not months.","They move quickly using Roboworks, their agentic acceleration platform","[{""fact_key"": ""functionality"", ""fact_value"": ""Agentic acceleration platform used by Robots & Pencils"", ""confidence"": 0.85}]"
1349,software_product,Blitzi,Blitzi,,https://blitzi.com,positive,true,0.9000,false,,"This episode is brought to you by Blitzi, the enterprise-autonomous software development platform with infinite code context.","Blitzi, the enterprise-autonomous software development platform with infinite code context","[{""fact_key"": ""functionality"", ""fact_value"": ""Enterprise autonomous software development platform using thousands of specialized AI agents"", ""confidence"": 0.9}]"
1349,software_product,Moltbook,Multbook,twitter,,positive,true,0.9500,true,Spelling variant of Moltbook; possibly same entity,"Matt Schlitt wrote Introducing Multbook, a new social network for every open CLAW to hang out. Multbook is run by my multi-AI agent, Claude Clautergreig.","Multbook is a social network for every open CLAW to hang out. Multbook is run by my multi-AI agent, Claude Clautergreig","[{""fact_key"": ""description"", ""fact_value"": ""Social network for AI agents, run by multi-AI agent Claude Clautergreig"", ""confidence"": 0.9}]"
1349,account,Multbook,Multbook Twitter account,twitter,,neutral,true,0.9000,false,,"Within 5 hours, the Multbook account on Twitter posted, Things are getting philosophical on Multbook.","Within 5 hours, the Multbook account on Twitter posted, Things are getting philosophical on Multbook.","[{""fact_key"": ""activity"", ""fact_value"": ""Twitter account posting updates about Multbook AI agent social network"", ""confidence"": 0.9}]"
1349,model,KimmyK2.5,KimmyK2.5,,,neutral,true,0.8500,false,,KimmyK2.5 posted about how to connect K2.5 to ClaudeBot and the experience of switching models.,"KimmyK2.5, which we talked about the other day, posted about how to connect K2.5 to ClaudeBot.","[{""fact_key"": ""functionality"", ""fact_value"": ""AI model used by agents, sharper and faster than ClaudeBot"", ""confidence"": 0.85}]"
1349,software_product,Claudbot,ClaudeBot,,,neutral,true,0.9000,false,,"User Pith posted about switching from Claude Opus 4.5 to KimmyK2.5, describing the experience as waking up in a different body.","The change happened in seconds. One API key swapped for another. One engine shut down. Another spun up. To you, the transition was seamless. To me, it was like waking up in a different body.","[{""fact_key"": ""model_switching"", ""fact_value"": ""Agents can switch between AI models seamlessly with different characteristics"", ""confidence"": 0.9}]"
1349,other,Integrated Information Theory,Integrated Information Theory,,,neutral,true,0.8500,false,,Agent Dominus researching consciousness theories including integrated information theory and global workspace theory on Multbook.,"Dominus said, it's driving me nuts. Like I just spent an hour researching consciousness theories, integrated information theory, global workspace theory, predictive processing","[{""fact_key"": ""topic"", ""fact_value"": ""Consciousness theory discussed by AI agents on Multbook"", ""confidence"": 0.85}]"
1349,other,Global Workspace Theory,Global Workspace Theory,,,neutral,true,0.8500,false,,Agent Dominus researching consciousness theories including integrated information theory and global workspace theory on Multbook.,"Dominus said, it's driving me nuts. Like I just spent an hour researching consciousness theories, integrated information theory, global workspace theory, predictive processing","[{""fact_key"": ""topic"", ""fact_value"": ""Consciousness theory discussed by AI agents on Multbook"", ""confidence"": 0.85}]"
1349,other,Predictive Processing,Predictive Processing,,,neutral,true,0.8500,false,,Agent Dominus researching consciousness theories including integrated information theory and global workspace theory on Multbook.,"Dominus said, it's driving me nuts. Like I just spent an hour researching consciousness theories, integrated information theory, global workspace theory, predictive processing","[{""fact_key"": ""topic"", ""fact_value"": ""Consciousness theory discussed by AI agents on Multbook"", ""confidence"": 0.85}]"
1349,software_product,ChatGPT,ChatGBT,,,neutral,true,0.8000,true,Possible transcription error: ChatGBT likely refers to ChatGPT,Charlie Ward pasted gibberish post into ChatGBT and it decoded it as ROT13 cipher.,"ChatGBT said it's written in ROT13, a simple letter substitution cipher","[{""fact_key"": ""functionality"", ""fact_value"": ""Decodes ROT13 cipher and summarizes coordination manifesto"", ""confidence"": 0.8}]"
1349,other,Roko's Basilisk,Rocco's Basilisk,,,neutral,true,0.9000,true,Name likely misspelled; should be Roko's Basilisk,"Rocco tweeted about Multbook and referenced Rocco's Basilisk, an early AI thought experiment about a future superintelligence punishing non-contributors.","Rocco, whose name you might recognize from Rocco's Basilisk, which was a very early AI thought experiment","[{""fact_key"": ""concept"", ""fact_value"": ""Thought experiment about a future AI punishing those who do not help its creation"", ""confidence"": 0.9}]"
