episode_id,entity_type,canonical_name,mention_text,confidence,review_reason,platform,source_url,context_snippet
1350,organization,SK Hynix,SK Hyings,0.9000,Possible typo in transcript: 'SK Hyings' likely refers to 'SK Hynix'.,,,"The story was similar for SK Hyings, who doubled operating profit to $13.5 billion."
1352,other,Blackwell chips,Blackwell chips,0.8500,"Unclear if 'Blackwell chips' is a model or software product or hardware product; likely hardware but no locked type for hardware chip, so marked other.",,,"Google is using 3nm for 7th gen TPUs, Nvidia uses 4nm for Blackwell chips."
1352,organization,MidJourney,Mid-Journey,0.9000,Spelling variant 'Mid-Journey' vs 'MidJourney' needs confirmation.,,,Mid-Journey founder David Hulls wrote about increased personal coding projects over Christmas break.
1352,person,Kevin Roose,Kevin Roos,0.9500,Name spelled 'Roos' in transcript but likely 'Roose'; needs review.,x,,New York Times columnist Kevin Roos wrote about the increasing chasm of experience and impression of AI between the most enfranchised users and everyone else.
1352,other,Rare Candy NFT marketplace,Rare Candy NFT marketplace,0.8000,Rare Candy NFT marketplace is an organization or platform but unclear; marked other.,,,Lincoln Michelle shared an old post from the Rare Candy NFT marketplace about slurp juice mint events.
1352,person,Tobias Lütke,Toby Lutke,0.9000,Name spelled 'Toby Lutke' in transcript but canonical is Tobias Lütke; needs review.,,,Shopify CEO Toby Lutke commented on the 4% fee charged for ChatGPT sales.
1352,software_product,Replit,Repl.it,0.9000,Spelling 'Repl.it' vs canonical 'Replit' needs review.,,,"For non-coders, tools like Repl.it and Lovable are more intuitive for experimenting with software."
1351,other,You Can With AI,You Can With AI,0.8500,Podcast mentioned but podcast is not in locked taxonomy; marked for review.,,,"You'll want to check out another podcast that I've had the privilege to host, which is called You Can With AI from KPMG."
1353,organization,International Monetary Fund,IMF,0.7000,low_confidence,,,"I remember a study from a couple of years ago from one of the big global institutions, IMF or World Bank or one of them, that basically had those numbers, so I assume that's what she's talking about."
1353,other,Ralph Wiggum,Ralph Wiggum,0.8500,"Unclear if Ralph Wiggum is a concept, model, or other; currently categorized as 'other'.",,,"Zwicks shared this section of the blog post and nailed it when he wrote, Cursor independently invented the Ralph Wiggum loop to solve the problems they were seeing with parallel agent orchestration."
1353,other,bash loop,bash loop,0.9000,"bash loop is a technical concept, not a software product or model; categorized as 'other'.",,,"In its purest form, Ralph is a bash loop. So you might ask, what the heck is a bash loop? First of all, bash is short for born-again shell which is a command line interpreter that basically means it's the program sitting between a person and the operating system when they're working through a terminal."
1353,other,Startup Ideas podcast,Startup Ideas podcast,0.8000,Podcast name mentioned but no direct link or clear entity type; categorized as 'other'.,,,The Startup Ideas podcast with Greg Eisenberg had Ryan on to explain it even more simply.
1353,other,VibeCodeCamp,VibeCodeCamp,0.8500,"Unclear if VibeCodeCamp is an event, community, or software product; categorized as 'other'.",,,Dan Shipper and the team at Evry recently did an 8-hour live stream with tons of really great VibeCoders talking about all the different things that they do.
1354,software_product,Replit,Repl.it,0.9000,Mentioned as 'Repl.it' but canonical name is 'Replit'; verify spelling and entity,,,tools like Cloud Code and the vibe coding platforms like Repl.it and Lovable
1354,software_product,Lovable,Lovable,0.7000,Unclear if 'Lovable' is a software product or other; needs verification,,,tools like Cloud Code and the vibe coding platforms like Repl.it and Lovable
